"crsCode","deptId","crsName","descr"
"crsCode852818","deptId964718","crsName724106","descr856968"
"crsCode550806","deptId360888","crsName34722","descr410615"
"crsCode971328","deptId363614","crsName804492","descr926505"
"crsCode733027","deptId15862","crsName282963","descr807349"
"crsCode477745","deptId431358","crsName286963","descr346184"
"crsCode264813","deptId731941","crsName444895","descr107525"
"crsCode118903","deptId402995","crsName129503","descr155190"
"crsCode709510","deptId757141","crsName141137","descr199981"
"crsCode335797","deptId951113","crsName421967","descr247547"
"crsCode420724","deptId301346","crsName393777","descr331532"
"crsCode44319","deptId745017","crsName986281","descr562909"
"crsCode290859","deptId660336","crsName312525","descr58204"
"crsCode245948","deptId626468","crsName913522","descr128411"
"crsCode197397","deptId772847","crsName106355","descr529392"
"crsCode935079","deptId291990","crsName32401","descr334891"
"crsCode242826","deptId522582","crsName793396","descr679604"
"crsCode270089","deptId367622","crsName550736","descr860289"
"crsCode23383","deptId51049","crsName972643","descr914098"
"crsCode820384","deptId708370","crsName50970","descr87497"
"crsCode896891","deptId941684","crsName263700","descr608009"
"crsCode746811","deptId541381","crsName292862","descr433066"
"crsCode485733","deptId305679","crsName644125","descr198645"
"crsCode613692","deptId502739","crsName848426","descr166530"
"crsCode825911","deptId617434","crsName181527","descr178188"
"crsCode623188","deptId711769","crsName898160","descr768558"
"crsCode736453","deptId42944","crsName469405","descr202493"
"crsCode611849","deptId196895","crsName140291","descr128129"
"crsCode441494","deptId561205","crsName590283","descr690064"
"crsCode492082","deptId133527","crsName995578","descr854281"
"crsCode47713","deptId231610","crsName815551","descr321962"
"crsCode163001","deptId100381","crsName748556","descr736847"
"crsCode351825","deptId366421","crsName660124","descr577160"
"crsCode900888","deptId923062","crsName162130","descr167125"
"crsCode339010","deptId944475","crsName255426","descr406592"
"crsCode635420","deptId988499","crsName134793","descr78871"
"crsCode306561","deptId504872","crsName52374","descr26949"
"crsCode237669","deptId87821","crsName308940","descr802444"
"crsCode774862","deptId10339","crsName72832","descr963810"
"crsCode912355","deptId616936","crsName530717","descr612069"
"crsCode629469","deptId419389","crsName157735","descr963451"
"crsCode149594","deptId15058","crsName360540","descr601866"
"crsCode318224","deptId206000","crsName545974","descr204689"
"crsCode286878","deptId276386","crsName497550","descr329121"
"crsCode419838","deptId825345","crsName973403","descr467644"
"crsCode254039","deptId179291","crsName428823","descr469832"
"crsCode668655","deptId643455","crsName464514","descr144048"
"crsCode370814","deptId578472","crsName754176","descr277144"
"crsCode968926","deptId380484","crsName640669","descr797306"
"crsCode479326","deptId960287","crsName502385","descr299554"
"crsCode139957","deptId558257","crsName435359","descr845954"
"crsCode19091","deptId352768","crsName396343","descr671987"
"crsCode708627","deptId811955","crsName84539","descr830601"
"crsCode217165","deptId981493","crsName947327","descr152785"
"crsCode909769","deptId26818","crsName272425","descr351466"
"crsCode592718","deptId653457","crsName88728","descr788669"
"crsCode586136","deptId81758","crsName486050","descr542490"
"crsCode561831","deptId981203","crsName131125","descr757808"
"crsCode35764","deptId913298","crsName603806","descr637865"
"crsCode532479","deptId431842","crsName904616","descr379040"
"crsCode21699","deptId643315","crsName672541","descr596480"
"crsCode134795","deptId309711","crsName370984","descr482938"
"crsCode634782","deptId995552","crsName93146","descr502498"
"crsCode79446","deptId196824","crsName580875","descr834279"
"crsCode215887","deptId341120","crsName94617","descr631533"
"crsCode551290","deptId675745","crsName449420","descr115017"
"crsCode688401","deptId279881","crsName758042","descr749720"
"crsCode437989","deptId477754","crsName29957","descr937980"
"crsCode738003","deptId780725","crsName282274","descr225076"
"crsCode311509","deptId944542","crsName385590","descr465943"
"crsCode998644","deptId966988","crsName236665","descr897645"
"crsCode606364","deptId186287","crsName585724","descr522090"
"crsCode511432","deptId750238","crsName380070","descr827976"
"crsCode561884","deptId130685","crsName414234","descr329472"
"crsCode302929","deptId213128","crsName776309","descr786660"
"crsCode199818","deptId655486","crsName886771","descr973020"
"crsCode908998","deptId491372","crsName657265","descr387323"
"crsCode28975","deptId57556","crsName151629","descr945597"
"crsCode173519","deptId661755","crsName471465","descr139423"
"crsCode331234","deptId168844","crsName328463","descr445787"
"crsCode587014","deptId528556","crsName850990","descr54463"
"crsCode953486","deptId771483","crsName413315","descr876841"
"crsCode707127","deptId664195","crsName717907","descr876001"
"crsCode681458","deptId754017","crsName565652","descr409939"
"crsCode284000","deptId628685","crsName333035","descr403239"
"crsCode715932","deptId950055","crsName764560","descr875455"
"crsCode535281","deptId422816","crsName184911","descr851788"
"crsCode598892","deptId148578","crsName386279","descr708685"
"crsCode994189","deptId890909","crsName314581","descr585126"
"crsCode272343","deptId781679","crsName330283","descr420377"
"crsCode288455","deptId782447","crsName308249","descr844195"
"crsCode873377","deptId297815","crsName179661","descr176693"
"crsCode509413","deptId346251","crsName337655","descr464141"
"crsCode317025","deptId461194","crsName490981","descr532209"
"crsCode753696","deptId161712","crsName341006","descr720840"
"crsCode60096","deptId804773","crsName897962","descr510869"
"crsCode226593","deptId997606","crsName460414","descr23953"
"crsCode32570","deptId160686","crsName772854","descr97571"
"crsCode927621","deptId346560","crsName517354","descr906110"
"crsCode158618","deptId114260","crsName672707","descr730455"
"crsCode439898","deptId814172","crsName192247","descr93506"
"crsCode85954","deptId303665","crsName358959","descr987496"
"crsCode586591","deptId353695","crsName788042","descr9959"
"crsCode133792","deptId847562","crsName726651","descr760710"
"crsCode691207","deptId319995","crsName229518","descr876371"
"crsCode472762","deptId932875","crsName238728","descr132380"
"crsCode383158","deptId435562","crsName483051","descr641158"
"crsCode505315","deptId73036","crsName321176","descr701965"
"crsCode205186","deptId221810","crsName469647","descr490200"
"crsCode675586","deptId421584","crsName687763","descr37816"
"crsCode94066","deptId758176","crsName494441","descr10685"
"crsCode169106","deptId638467","crsName833918","descr929333"
"crsCode240770","deptId235663","crsName965352","descr874114"
"crsCode866012","deptId962361","crsName281093","descr998487"
"crsCode541789","deptId794208","crsName462208","descr769167"
"crsCode484542","deptId863220","crsName350514","descr653737"
"crsCode127201","deptId299329","crsName71268","descr946852"
"crsCode103335","deptId341340","crsName69875","descr490995"
"crsCode622110","deptId475496","crsName101772","descr582493"
"crsCode918040","deptId850373","crsName90647","descr20661"
"crsCode558231","deptId490071","crsName284721","descr213424"
"crsCode674212","deptId919086","crsName644497","descr620712"
"crsCode185214","deptId503703","crsName355596","descr827564"
"crsCode149680","deptId197054","crsName408563","descr635457"
"crsCode72699","deptId158334","crsName127514","descr765050"
"crsCode562547","deptId577351","crsName547124","descr714543"
"crsCode559078","deptId474283","crsName824218","descr850333"
"crsCode707894","deptId555909","crsName782890","descr176858"
"crsCode265864","deptId240646","crsName443148","descr775475"
"crsCode804821","deptId850590","crsName145616","descr545700"
"crsCode622686","deptId281347","crsName64563","descr99251"
"crsCode35452","deptId862112","crsName506689","descr853225"
"crsCode172565","deptId618589","crsName681812","descr245678"
"crsCode11051","deptId416327","crsName918970","descr736768"
"crsCode443342","deptId873373","crsName148852","descr350799"
"crsCode636978","deptId257142","crsName554523","descr817593"
"crsCode304667","deptId745297","crsName773022","descr162013"
"crsCode646516","deptId937787","crsName230054","descr987230"
"crsCode258240","deptId634583","crsName454042","descr409078"
"crsCode789544","deptId585677","crsName13886","descr488820"
"crsCode362162","deptId984658","crsName900086","descr143380"
"crsCode220179","deptId403599","crsName761257","descr478969"
"crsCode876507","deptId14449","crsName594945","descr9033"
"crsCode208398","deptId278284","crsName626638","descr185765"
"crsCode973011","deptId888108","crsName67146","descr98755"
"crsCode821766","deptId823738","crsName274039","descr618795"
"crsCode736296","deptId513160","crsName696421","descr850890"
"crsCode407542","deptId616697","crsName406096","descr247286"
"crsCode837399","deptId497936","crsName31141","descr130751"
"crsCode19182","deptId142547","crsName864549","descr605806"
"crsCode271440","deptId99931","crsName45155","descr727773"
"crsCode503503","deptId812283","crsName388327","descr688690"
"crsCode399093","deptId963915","crsName649525","descr882938"
"crsCode685580","deptId93712","crsName889191","descr528222"
"crsCode760282","deptId462857","crsName705399","descr121540"
"crsCode747627","deptId767129","crsName133913","descr54532"
"crsCode364550","deptId598348","crsName539653","descr373829"
"crsCode483777","deptId763399","crsName644562","descr23092"
"crsCode909009","deptId233854","crsName905248","descr505977"
"crsCode650552","deptId166090","crsName63989","descr960067"
"crsCode300065","deptId358850","crsName486036","descr410381"
"crsCode393648","deptId128795","crsName435915","descr136795"
"crsCode310032","deptId983413","crsName981686","descr99531"
"crsCode621791","deptId925375","crsName483249","descr22149"
"crsCode665209","deptId375609","crsName19192","descr999952"
"crsCode737824","deptId874069","crsName346590","descr385666"
"crsCode595269","deptId807351","crsName238182","descr834768"
"crsCode533877","deptId109916","crsName759170","descr331203"
"crsCode38947","deptId219222","crsName896870","descr464204"
"crsCode634510","deptId729845","crsName271367","descr9134"
"crsCode635150","deptId911874","crsName741813","descr902425"
"crsCode305729","deptId429157","crsName263442","descr214871"
"crsCode18700","deptId416358","crsName792366","descr977567"
"crsCode362896","deptId288784","crsName763521","descr140040"
"crsCode209643","deptId443121","crsName297027","descr13207"
"crsCode382696","deptId545407","crsName266732","descr416313"
"crsCode921220","deptId441813","crsName440003","descr158668"
"crsCode965854","deptId550938","crsName817061","descr701911"
"crsCode457018","deptId167554","crsName842325","descr196954"
"crsCode740209","deptId907310","crsName70330","descr635841"
"crsCode596729","deptId175919","crsName540537","descr700850"
"crsCode558157","deptId129192","crsName668847","descr534661"
"crsCode43321","deptId286225","crsName739147","descr310483"
"crsCode985028","deptId958936","crsName91207","descr293735"
"crsCode648057","deptId793634","crsName883585","descr41234"
"crsCode155412","deptId718895","crsName645242","descr885851"
"crsCode673286","deptId967323","crsName655082","descr709843"
"crsCode5285","deptId333824","crsName364157","descr566341"
"crsCode277940","deptId974329","crsName370222","descr697868"
"crsCode430154","deptId7298","crsName726975","descr533056"
"crsCode473953","deptId666747","crsName228818","descr152008"
"crsCode596477","deptId96011","crsName639015","descr788883"
"crsCode662326","deptId650081","crsName686003","descr357218"
"crsCode836004","deptId552982","crsName416409","descr288253"
"crsCode195303","deptId340910","crsName568327","descr960069"
"crsCode321808","deptId26366","crsName89136","descr58537"
"crsCode265648","deptId505063","crsName761953","descr730547"
"crsCode568315","deptId807424","crsName322691","descr251322"
"crsCode468311","deptId232530","crsName642348","descr389562"
"crsCode579655","deptId78204","crsName871073","descr768000"
"crsCode606895","deptId832823","crsName770348","descr388799"
"crsCode191171","deptId877748","crsName209046","descr141889"
"crsCode806544","deptId493666","crsName489282","descr775607"
"crsCode74599","deptId69388","crsName391590","descr4657"
"crsCode314145","deptId895198","crsName698150","descr434473"
"crsCode526548","deptId748424","crsName241295","descr785721"
"crsCode620945","deptId944699","crsName365549","descr852909"
"crsCode341206","deptId633296","crsName263753","descr287411"
"crsCode234583","deptId425800","crsName568514","descr380143"
"crsCode893668","deptId851822","crsName276486","descr408491"
"crsCode231734","deptId452057","crsName695534","descr151852"
"crsCode324252","deptId884877","crsName66420","descr605535"
"crsCode15933","deptId98241","crsName866129","descr932082"
"crsCode232393","deptId28988","crsName450551","descr522240"
"crsCode881985","deptId906713","crsName974440","descr695780"
"crsCode308255","deptId311273","crsName532594","descr882223"
"crsCode897122","deptId180343","crsName658503","descr241396"
"crsCode646202","deptId832486","crsName449469","descr511744"
"crsCode60365","deptId897271","crsName940574","descr102375"
"crsCode7268","deptId561767","crsName186285","descr78457"
"crsCode186038","deptId779701","crsName292534","descr128340"
"crsCode451086","deptId765185","crsName497360","descr22803"
"crsCode722843","deptId121616","crsName844787","descr892516"
"crsCode849620","deptId460716","crsName246128","descr677816"
"crsCode2118","deptId800297","crsName605969","descr969619"
"crsCode778811","deptId821634","crsName285965","descr393923"
"crsCode619273","deptId797921","crsName908136","descr818669"
"crsCode141172","deptId300285","crsName975461","descr927874"
"crsCode568897","deptId18974","crsName118313","descr110609"
"crsCode693528","deptId896636","crsName457198","descr942519"
"crsCode154580","deptId435653","crsName824736","descr274353"
"crsCode138347","deptId576574","crsName169751","descr738898"
"crsCode663477","deptId12481","crsName784498","descr299536"
"crsCode611995","deptId718564","crsName448460","descr761912"
"crsCode379485","deptId714490","crsName567838","descr338562"
"crsCode619839","deptId164019","crsName670193","descr455423"
"crsCode544209","deptId602079","crsName772414","descr551150"
"crsCode211866","deptId319504","crsName112740","descr105327"
"crsCode53344","deptId540892","crsName287236","descr3791"
"crsCode344535","deptId408321","crsName885244","descr594177"
"crsCode123620","deptId968100","crsName79999","descr456750"
"crsCode327436","deptId350386","crsName926606","descr846179"
"crsCode861182","deptId353831","crsName814229","descr7273"
"crsCode13817","deptId430573","crsName303588","descr669298"
"crsCode188059","deptId548956","crsName286024","descr279215"
"crsCode889928","deptId151648","crsName103494","descr512575"
"crsCode371187","deptId713272","crsName114739","descr203073"
"crsCode482060","deptId955867","crsName852915","descr129418"
"crsCode565382","deptId364085","crsName606540","descr853362"
"crsCode55427","deptId341967","crsName323814","descr127113"
"crsCode942111","deptId377164","crsName941729","descr898088"
"crsCode575318","deptId766287","crsName960659","descr112801"
"crsCode718547","deptId649850","crsName489181","descr404824"
"crsCode803030","deptId126482","crsName370024","descr59051"
"crsCode653952","deptId962494","crsName808961","descr988045"
"crsCode520190","deptId193134","crsName618575","descr107056"
"crsCode597584","deptId444441","crsName495597","descr238880"
"crsCode535285","deptId567262","crsName54632","descr959853"
"crsCode147765","deptId458124","crsName468374","descr189185"
"crsCode150090","deptId450493","crsName343441","descr26832"
"crsCode911148","deptId981533","crsName380623","descr546732"
"crsCode58168","deptId569928","crsName536479","descr116536"
"crsCode993596","deptId433681","crsName304002","descr107061"
"crsCode985569","deptId326560","crsName914084","descr537848"
"crsCode64886","deptId721523","crsName507446","descr277180"
"crsCode927061","deptId505605","crsName638761","descr101076"
"crsCode475828","deptId430795","crsName213704","descr852921"
"crsCode744906","deptId391131","crsName969778","descr366145"
"crsCode414939","deptId687336","crsName380019","descr193841"
"crsCode401698","deptId702312","crsName522303","descr857513"
"crsCode673115","deptId384406","crsName969930","descr599741"
"crsCode574378","deptId101395","crsName839","descr711781"
"crsCode211179","deptId544616","crsName748666","descr225930"
"crsCode745303","deptId859238","crsName389500","descr265088"
"crsCode169679","deptId400367","crsName921675","descr784915"
"crsCode230856","deptId386125","crsName518667","descr764026"
"crsCode973140","deptId867839","crsName753437","descr72681"
"crsCode41993","deptId261717","crsName223067","descr60866"
"crsCode409424","deptId766321","crsName417837","descr995371"
"crsCode607692","deptId642925","crsName423179","descr81018"
"crsCode454692","deptId937499","crsName302991","descr878541"
"crsCode493167","deptId363239","crsName166133","descr32823"
"crsCode928059","deptId911065","crsName908787","descr343701"
"crsCode440634","deptId979895","crsName358319","descr252606"
"crsCode28170","deptId186311","crsName888482","descr164696"
"crsCode821344","deptId132146","crsName322375","descr977864"
"crsCode608976","deptId382149","crsName397247","descr433025"
"crsCode497019","deptId90768","crsName906628","descr736702"
"crsCode745557","deptId217905","crsName909768","descr157642"
"crsCode320465","deptId405739","crsName4393","descr724732"
"crsCode612844","deptId913199","crsName904403","descr330177"
"crsCode983379","deptId49277","crsName867955","descr997010"
"crsCode780082","deptId35748","crsName709972","descr311364"
"crsCode537434","deptId325861","crsName721943","descr261886"
"crsCode384846","deptId679990","crsName11347","descr517572"
"crsCode667499","deptId924706","crsName215111","descr803186"
"crsCode371569","deptId467725","crsName941304","descr585541"
"crsCode833010","deptId422294","crsName458028","descr724692"
"crsCode974741","deptId885589","crsName818177","descr246812"
"crsCode35271","deptId697155","crsName229738","descr785144"
"crsCode629504","deptId682297","crsName76103","descr403695"
"crsCode515949","deptId741585","crsName70049","descr474792"
"crsCode972095","deptId155689","crsName508223","descr31992"
"crsCode811408","deptId312518","crsName702055","descr491548"
"crsCode797357","deptId752404","crsName715252","descr726338"
"crsCode605764","deptId2444","crsName105872","descr702402"
"crsCode746283","deptId887918","crsName765071","descr676522"
"crsCode298634","deptId130222","crsName145257","descr949558"
"crsCode590311","deptId61483","crsName766097","descr159583"
"crsCode143437","deptId473114","crsName875446","descr107978"
"crsCode904599","deptId359809","crsName971669","descr156641"
"crsCode279198","deptId632992","crsName689657","descr390655"
"crsCode180669","deptId576618","crsName400209","descr119493"
"crsCode330941","deptId803120","crsName933548","descr803146"
"crsCode883554","deptId88607","crsName566547","descr294127"
"crsCode420433","deptId40672","crsName440386","descr110351"
"crsCode988700","deptId812445","crsName284805","descr485525"
"crsCode807916","deptId442852","crsName850476","descr278185"
"crsCode720970","deptId996323","crsName457195","descr937283"
"crsCode153674","deptId922835","crsName738256","descr999264"
"crsCode693140","deptId350770","crsName511073","descr152337"
"crsCode891920","deptId723304","crsName749841","descr285104"
"crsCode593453","deptId222603","crsName829471","descr546542"
"crsCode546574","deptId841214","crsName143756","descr448264"
"crsCode230099","deptId514036","crsName487735","descr458904"
"crsCode930559","deptId389523","crsName257878","descr807176"
"crsCode268427","deptId658611","crsName674771","descr63841"
"crsCode559814","deptId564165","crsName547648","descr626497"
"crsCode648999","deptId315792","crsName677497","descr907691"
"crsCode399153","deptId336471","crsName641237","descr542265"
"crsCode411585","deptId655511","crsName697416","descr514604"
"crsCode433719","deptId887660","crsName519000","descr53540"
"crsCode336127","deptId446355","crsName473978","descr861931"
"crsCode535931","deptId246218","crsName388681","descr41579"
"crsCode182927","deptId657172","crsName502306","descr734400"
"crsCode690440","deptId346841","crsName297566","descr853480"
"crsCode438249","deptId158634","crsName969389","descr564887"
"crsCode537428","deptId67937","crsName363020","descr574887"
"crsCode843666","deptId279526","crsName565218","descr378221"
"crsCode82431","deptId783759","crsName923453","descr1191"
"crsCode516693","deptId717663","crsName136036","descr368849"
"crsCode717075","deptId552495","crsName174616","descr572950"
"crsCode771017","deptId451947","crsName562220","descr91556"
"crsCode871299","deptId385843","crsName783614","descr428760"
"crsCode620624","deptId987937","crsName364689","descr30617"
"crsCode842413","deptId146346","crsName670408","descr976385"
"crsCode312275","deptId81117","crsName14977","descr95861"
"crsCode542298","deptId862921","crsName686028","descr952981"
"crsCode93896","deptId367676","crsName657415","descr219407"
"crsCode188219","deptId962469","crsName997015","descr697998"
"crsCode780526","deptId659995","crsName243205","descr711312"
"crsCode21867","deptId799031","crsName796146","descr208534"
"crsCode536589","deptId549467","crsName872313","descr352116"
"crsCode255857","deptId849110","crsName749791","descr720584"
"crsCode248889","deptId926048","crsName682617","descr138311"
"crsCode172988","deptId883007","crsName876955","descr2163"
"crsCode781198","deptId770829","crsName118072","descr127337"
"crsCode797735","deptId466832","crsName884955","descr713622"
"crsCode23922","deptId249545","crsName72513","descr468106"
"crsCode188276","deptId272648","crsName778256","descr79717"
"crsCode948311","deptId350780","crsName862776","descr327469"
"crsCode708179","deptId489289","crsName73637","descr498114"
"crsCode974904","deptId630610","crsName378590","descr51241"
"crsCode495514","deptId28822","crsName63997","descr979524"
"crsCode477912","deptId212150","crsName14923","descr158754"
"crsCode677771","deptId259924","crsName655160","descr501171"
"crsCode694280","deptId760344","crsName762355","descr648596"
"crsCode308435","deptId870860","crsName955628","descr927817"
"crsCode164960","deptId378471","crsName504932","descr767432"
"crsCode496070","deptId114663","crsName806445","descr402226"
"crsCode793347","deptId766551","crsName139140","descr457565"
"crsCode761062","deptId964144","crsName346055","descr34892"
"crsCode968029","deptId501468","crsName406548","descr747456"
"crsCode92507","deptId124502","crsName310336","descr10919"
"crsCode828261","deptId743084","crsName443313","descr892531"
"crsCode147386","deptId798438","crsName217","descr940486"
"crsCode361501","deptId371841","crsName279567","descr601545"
"crsCode974912","deptId79060","crsName568971","descr163740"
"crsCode771471","deptId105044","crsName917246","descr404967"
"crsCode299350","deptId642419","crsName471372","descr745359"
"crsCode905423","deptId440099","crsName972967","descr810949"
"crsCode733772","deptId206840","crsName346569","descr904952"
"crsCode781821","deptId94315","crsName120910","descr833323"
"crsCode432159","deptId309370","crsName812971","descr217505"
"crsCode701954","deptId74669","crsName729935","descr21300"
"crsCode856885","deptId293172","crsName851604","descr702725"
"crsCode799439","deptId957869","crsName916706","descr185933"
"crsCode748060","deptId879553","crsName814881","descr400850"
"crsCode383267","deptId776814","crsName765016","descr937974"
"crsCode68113","deptId531551","crsName999015","descr616618"
"crsCode336580","deptId773943","crsName384605","descr598399"
"crsCode222261","deptId183084","crsName774967","descr971165"
"crsCode721538","deptId174224","crsName870902","descr49356"
"crsCode594967","deptId733164","crsName269660","descr131183"
"crsCode856249","deptId510469","crsName951426","descr19282"
"crsCode61806","deptId554560","crsName825689","descr365464"
"crsCode306189","deptId983585","crsName221627","descr709463"
"crsCode549470","deptId135663","crsName200429","descr248255"
"crsCode498797","deptId385524","crsName209140","descr9269"
"crsCode414256","deptId732128","crsName633936","descr131198"
"crsCode95058","deptId571213","crsName671513","descr662166"
"crsCode405339","deptId792286","crsName16885","descr301409"
"crsCode937278","deptId183040","crsName800692","descr720569"
"crsCode402176","deptId990546","crsName784648","descr99814"
"crsCode699456","deptId167777","crsName974820","descr541931"
"crsCode79527","deptId426060","crsName576111","descr689277"
"crsCode667372","deptId73735","crsName622757","descr157711"
"crsCode449284","deptId991930","crsName859211","descr638216"
"crsCode82405","deptId467785","crsName163468","descr175126"
"crsCode957430","deptId857583","crsName30069","descr641820"
"crsCode836245","deptId983491","crsName433034","descr586823"
"crsCode774596","deptId643421","crsName679235","descr808190"
"crsCode919025","deptId477074","crsName955302","descr697015"
"crsCode235552","deptId410906","crsName668034","descr23463"
"crsCode174327","deptId800979","crsName467781","descr648978"
"crsCode252773","deptId794847","crsName148411","descr429120"
"crsCode778544","deptId688360","crsName368291","descr893712"
"crsCode186011","deptId17027","crsName868208","descr571174"
"crsCode490672","deptId692210","crsName415385","descr400959"
"crsCode448175","deptId872836","crsName323101","descr648614"
"crsCode798611","deptId33303","crsName220375","descr813440"
"crsCode164157","deptId997822","crsName64569","descr934593"
"crsCode227008","deptId490237","crsName897256","descr770177"
"crsCode828040","deptId673457","crsName886196","descr274537"
"crsCode720487","deptId367565","crsName170546","descr412679"
"crsCode705534","deptId835134","crsName499000","descr200258"
"crsCode730820","deptId783984","crsName772597","descr199591"
"crsCode867638","deptId53546","crsName494827","descr182177"
"crsCode730331","deptId130069","crsName598793","descr572423"
"crsCode857011","deptId453466","crsName955625","descr205072"
"crsCode575611","deptId997992","crsName578402","descr711202"
"crsCode114784","deptId99093","crsName722059","descr791879"
"crsCode716990","deptId838300","crsName427981","descr213953"
"crsCode862867","deptId579141","crsName570980","descr611956"
"crsCode592133","deptId50914","crsName679410","descr546049"
"crsCode701068","deptId154549","crsName33920","descr803508"
"crsCode67901","deptId959279","crsName57937","descr983635"
"crsCode576116","deptId962579","crsName462565","descr147479"
"crsCode647838","deptId469753","crsName664839","descr358007"
"crsCode854304","deptId967855","crsName198291","descr245023"
"crsCode969832","deptId468666","crsName740296","descr363520"
"crsCode941326","deptId382842","crsName174725","descr428800"
"crsCode965734","deptId995179","crsName890212","descr566802"
"crsCode281636","deptId338504","crsName759792","descr410529"
"crsCode45164","deptId215946","crsName887940","descr190119"
"crsCode111990","deptId864782","crsName393537","descr292634"
"crsCode441563","deptId591060","crsName377515","descr589381"
"crsCode948542","deptId585379","crsName849825","descr486900"
"crsCode32282","deptId117259","crsName324023","descr507016"
"crsCode486755","deptId638978","crsName155121","descr507947"
"crsCode922800","deptId681119","crsName558494","descr381365"
"crsCode447174","deptId962448","crsName120750","descr533534"
"crsCode101065","deptId640820","crsName861062","descr773164"
"crsCode474477","deptId322642","crsName428829","descr368294"
"crsCode541212","deptId387106","crsName80656","descr695022"
"crsCode702870","deptId34120","crsName917642","descr961031"
"crsCode988274","deptId578733","crsName127839","descr268551"
"crsCode133058","deptId265532","crsName825528","descr590938"
"crsCode225492","deptId366326","crsName874729","descr764400"
"crsCode474453","deptId618035","crsName677791","descr765700"
"crsCode268177","deptId821174","crsName848821","descr77770"
"crsCode643925","deptId610859","crsName446629","descr338293"
"crsCode71414","deptId288767","crsName676315","descr450210"
"crsCode731754","deptId553052","crsName291301","descr370724"
"crsCode784851","deptId243008","crsName391367","descr813677"
"crsCode922076","deptId36537","crsName586540","descr366421"
"crsCode43388","deptId392191","crsName285366","descr588682"
"crsCode925400","deptId790573","crsName904438","descr381909"
"crsCode749765","deptId364574","crsName655799","descr790916"
"crsCode876715","deptId652704","crsName436725","descr280122"
"crsCode89413","deptId492824","crsName720491","descr365007"
